Title;Year;Directors;Rating10;WatchedDate
Alien: Covenant;2017;Ridley Scott;6;21/05/2017
Un homme à la hauteur;2016;Laurent Tirard;5;17/04/2017
Captain America: Civil War;2016;Anthony Russo Joe Russo;5;19/03/2017
X-Men : Apocalypse;2016;Bryan Singer;4;18/03/2017
Les Tuche 2 : Le Rêve américain;2016;Olivier Baroux;3;08/02/2017
The Magnificent Seven;2016;Antoine Fuqua;5;29/01/2017
Inferno;2016;Ron Howard;4;01/01/2017
Leviathan;1989;George Pan Cosmatos;#NOMBRE!;01/01/1970
Life;2017;Daniel Espinosa;6;02/05/2017
Our Kind of Traitor;2016;Susanna White;5;28/04/2017
Le Convoi;2016;Frédéric Schoendoerffer;5;01/05/2017
Éperdument;2016;Pierre Godeau;6;29/04/2017
Looper;2012;Rian Johnson;7;24/04/2017
Johnny Mnemonic;1995;Robert Longo;#NOMBRE!;01/01/1970
Ghost in the Shell;2017;Rupert Sanders;5;18/04/2017
Jerry Maguire;1996;Cameron Crowe;5;17/04/2017
Nick and Norah's Infinite Playlist;2008;Peter Sollett;5;07/04/2017
I.T.;2016;John Moore;5;19/03/2017
Marseille;2016;Kad Merad;5;02/03/2017
Les Kaïra;2012;Franck Gastambide;4;02/03/2017
Jack Reacher: Never Go Back;2016;Edward Zwick;4;17/04/2017
Any Given Sunday;1999;Oliver Stone;8;15/04/2017
The Reader;2008;Stephen Daldry;7;10/04/2017
Little Buddha;1993;Bernardo Bertolucci;7;09/04/2017
Hacksaw Ridge;2016;Mel Gibson;7;28/03/2017
Legends of the Fall;1994;Edward Zwick;6;28/03/2017
The Remains of the Day;1993;James Ivory;8;28/03/2017
Daddy's Home;2015;Sean Anders;6;19/03/2017
Triple 9;2016;John Hillcoat;7;11/03/2017
La Folle Histoire de Max & Léon;2016;Jonathan Barré;6;10/03/2017
Joséphine s'arrondit;2016;Marilou Berry;5;12/03/2017
Logan;2017;James Mangold;7;12/03/2017
Moonlight;2016;Barry Jenkins;7;05/03/2017
The Counselor;2013;Ridley Scott;4;04/03/2017
Homefront;2013;Gary Fleder;6;04/03/2017
The Divide;2012;Xavier Gens;#NOMBRE!;01/01/1970
Doctor Strange;2016;Scott Derrickson;6;22/02/2017
Allied;2016;Robert Zemeckis;6;19/02/2017
Misconduct;2016;Shintaro Shimosawa;5;18/02/2017
2 Guns;2013;Baltasar Kormákur;6;13/02/2017
The Kingdom;2007;Peter Berg;#NOMBRE!;01/01/1970
Five;2016;Igor Gotesman;6;12/02/2017
Arrêtez-moi là;2016;Gilles Bannier;6;11/02/2017
Passengers;2016;Morten Tyldum;6;10/02/2017
Jumper;2008;Doug Liman;6;09/02/2017
Jjakpae;2006;Ryoo Seung-Wan;#NOMBRE!;01/01/1970
La La Land;2016;Damien Chazelle;8;05/02/2017
Ahgassi;2016;Park Chan-Wook;7;01/01/1970
Hwanghae;2010;Na Hong-Jin;6;29/01/2017
Salt;2010;Phillip Noyce;#NOMBRE!;01/01/1970
The Net;1995;Irwin Winkler;#NOMBRE!;01/01/1970
Chugyeogja;2008;Na Hong-Jin;8;21/01/2017
Le Prénom;2012;Alexandre de La Patellière Matthieu Delaporte;8;15/01/2017
The Great Wall;2016;Zh?ng Yì-Móu;5;15/01/2017
Jane Got a Gun;2016;Gavin O'Connor;6;08/01/2017
The Devil Wears Prada;2006;David Frankel;6;05/01/2017
Rogue One - A Star Wars Story;2016;Gareth Edwards;6;02/01/2017
Joy;2015;David O. Russell;7;02/01/2017
Bienvenue à Marly-Gomont;2016;Julien Rambaldi;6;05/11/2016
The Goonies;1985;Richard Donner;8;20/12/2016
The Brass Teapot;2013;Ramaa Mosley;6;25/12/2016
To the Wonder;2013;Terrence Malick;7;23/12/2016
Stardust;2007;Matthew Vaughn;7;23/12/2016
Back to the Future Part II;1989;Robert Zemeckis;8;05/12/2016
Bridget Jones: The Edge of Reason;2004;Beeban Kidron;5;19/11/2016
The Sorcerer's Apprentice;2010;Jon Turteltaub;5;15/12/2016
The Woman in Black 2 : Angel of Death;2015;Tom Harper;5;18/12/2016
Arrival;2016;Denis Villeneuve;7;11/12/2016
Horns;2013;Alexandre Aja;6;16/11/2016
The Girl on the Train;2016;Tate Taylor;5;31/10/2016
Deepwater Horizon;2016;Peter Berg;7;17/10/2016
Café Society;2016;Woody Allen;6;09/10/2016
Captain Phillips;2013;Paul Greengrass;7;25/09/2016
Nous trois ou rien;2015;Kheiron;7;27/09/2016
Cell;2016;Tod Williams;7;21/09/2016
The Shallows;2016;Jaume Collet-Serra;6;18/09/2016
L'Etudiante et Monsieur Henri;2015;Ivan Calbérac;7;07/09/2016
Adopte un veuf;2016;François Desagnat;6;05/09/2016
Intouchables;2011;Olivier Nakache Eric Toledano;8;28/08/2016
Ghostbusters;1984;Ivan Reitman;7;01/01/1970
Rosalie Blum;2016;Julien Rappeneau;6;29/08/2016
The VVitch: A New-England Folktale;2016;Robert Eggers;7;21/08/2016
The Exorcist;1973;William Friedkin;7;20/08/2016
Une famille à louer;2015;Jean-Pierre Améris;5;20/07/2016
The Player;1992;Robert Altman;7;20/08/2016
Busanhaeng;2016;Yeon Sang-Ho;6;18/08/2016
Joséphine;2013;Agnès Obadia;3;24/07/2016
Paris à tout prix;2013;Reem Kherici;6;24/07/2016
The Conjuring 2;2016;James Wan;6;16/07/2016
Les Rayures du zèbre;2014;Benoît Mariage;6;20/06/2016
Goal!;2005;Danny Cannon;6;12/06/2016
World War Z;2013;Marc Forster;7;12/06/2016
Warcraft;2016;Duncan Jones;6;09/06/2016
Approaching the Unknown;2016;Mark Elijah Rosenberg;5;03/06/2016
Rush Hour 3;2007;Brett Ratner;6;31/05/2016
Kick-Ass 2;2013;Jeff Wadlow;7;29/05/2016
Rush Hour 2;2001;Brett Ratner;6;24/05/2016
Super;2011;James Gunn;#NOMBRE!;01/01/1970
Die Hard;1988;John McTiernan;8;10/05/2016
The Place Beyond the Pines;2013;Derek Cianfrance;7;16/05/2016
Spotlight;2015;Tom McCarthy;7;28/04/2016
Les Gorilles;2015;Tristan Aurouet;3;09/05/2016
The Omen;1976;Richard Donner;6;07/05/2016
10 Cloverfield Lane;2016;Dan Trachtenberg;5;06/05/2016
Pension complète;2015;Florent-Emilio Siri;4;06/05/2016
The Hole;2009;Joe Dante;#NOMBRE!;01/01/1970
Comment c'est loin;2015;Aurélien Cotentin (Orelsan) Christophe Offenstein;7;12/04/2016
Friday Night Lights;2004;Peter Berg;6;10/04/2016
American Ultra;2015;Nima Nourizadeh;5;10/04/2016
Deadpool;2016;Tim Miller;6;15/04/2016
Babysitting 2;2015;Nicolas Benamou Philippe Lacheau;6;09/04/2016
Focus;2015;Glenn Ficarra John Requa;6;09/04/2016
The Signal;2014;William Eubank;5;29/03/2016
Batman v Superman: Dawn of Justice;2016;Zack Snyder;7;07/04/2016
Byooti Insaideu;2015;Baek Jong-Yeol;7;27/03/2016
The Revenant;2015;Alejandro González Iñárritu;8;27/03/2016
Dàoshi xiàsh?n;2015;Chén K?i-G?;5;20/03/2016
The Fifth Wave;2016;J Blakeson;4;20/03/2016
Ex Machina;2015;Alex Garland;7;20/03/2016
Burnt;2015;John Wells;6;19/03/2016
The Longest Day;1962;Ken Annakin Andrew Marton Bernhard Wicki;7;14/03/2016
Kurt Cobain: Montage of Heck;2015;Brett Morgen;8;12/03/2016
Crouching Tiger Hidden Dragon: Sword of Destiny;2016;Yuen Woo-Ping;5;29/02/2016
Night at the Museum: Battle of the Smithsonian;2009;Shawn Levy;6;11/02/2016
Je suis à vous tout de suite;2015;Baya Kasmi;6;11/02/2016
Scouts Guide to the Zombie Apocalypse;2015;Christopher Landon;4;11/02/2016
Les Nouvelles Aventures d'Aladin;2015;Arthur Benzaquen;5;11/02/2016
The Good Dinosaur;2015;Peter Sohn;6;01/01/1970
Lolo;2015;Julie Delpy;6;23/02/2016
The Bling Ring;2013;Sofia Coppola;7;18/02/2016
Timbuktu;2014;Abderrahmane Sissako;7;16/02/2016
Predestination;2014;Michael Spierig Peter Spierig;7;13/02/2016
Infini;2015;Shane Abbess;5;12/02/2016
Monsieur Papa;2011;Kad Merad;6;09/02/2016
Fiston;2014;Pascal Bourdiaux;6;09/02/2016
Made in France;2016;Nicolas Boukhrief;6;07/02/2016
The Hateful Eight;2015;Quentin Tarantino;7;16/01/2016
Ted;2012;Seth MacFarlane;6;24/01/2016
The Happening;2008;M. Night Shyamalan;5;19/01/2016
Outbreak;1995;Wolfgang Petersen;6;19/01/2016
Jaws 3-D;1983;Joe Alves;3;15/01/2016
Tàipíng lún;2015;John Woo;7;11/01/2016
Tàipíng lún;2014;John Woo;7;11/01/2016
36 quai des Orfèvres;2004;Olivier Marchal;#NOMBRE!;01/01/1970
L'Adversaire;2002;Nicole Garcia;#NOMBRE!;01/01/1970
Jet Set;2000;Fabien Onteniente;#NOMBRE!;01/01/1970
Speed 2: Cruise Control;1997;Jan de Bont;#NOMBRE!;01/01/1970
Dungeons & Dragons;2000;Courtney Solomon;#NOMBRE!;01/01/1970
Jaws: The Revenge;1987;Joseph Sargent;#NOMBRE!;01/01/1970
Lock Stock & Two Smoking Barrels;1998;Guy Ritchie;#NOMBRE!;01/01/1970
Need for Speed;2014;Scott Waugh;#NOMBRE!;01/01/1970
Sip si 32 dou;1996;Patrick Leung Pak-Kin;#NOMBRE!;01/01/1970
Espace détente;2005;Bruno Solo Yvan Le Bolloc'h;#NOMBRE!;01/01/1970
Di Renjie: Shen du long wang;2013;Tsui Hark;7;08/01/2016
Zhì qu weihu shan;2014;Tsui Hark;6;07/01/2016
Jigoku de naze warui;2013;Sion Sono;6;05/01/2016
The Last House on the Left;1972;Wes Craven;#NOMBRE!;01/01/1970
Payback;1999;Brian Helgeland;#NOMBRE!;01/01/1970
The Crow;1994;Alex Proyas;#NOMBRE!;01/01/1970
LOL;2012;Lisa Azuelos;#NOMBRE!;01/01/1970
Le Boulet;2002;Alain Berbérian Frédéric Forestier;#NOMBRE!;01/01/1970
Un Indien dans la ville;1994;Hervé Palud;#NOMBRE!;01/01/1970
Camping 2;2010;Fabien Onteniente;#NOMBRE!;01/01/1970
Fanfan la Tulipe;2003;Gérard Krawczyk;#NOMBRE!;01/01/1970
American Pie 2;2001;J.B. Rogers;#NOMBRE!;01/01/1970
La Beuze;2003;François Desagnat Thomas Sorriaux;#NOMBRE!;01/01/1970
Fei foo hung sam;1994;Gordon Chan;#NOMBRE!;01/01/1970
Koi no tsumi;2011;Sion Sono;#NOMBRE!;01/01/1970
Heung Gong jai jo;1997;Fruit Chan;#NOMBRE!;01/01/1970
Shin Seiki Evangelion Gekij?ban - Death & RebirthShito Shinsei;1997;Hideaki Anno Masayuki;#NOMBRE!;01/01/1970
Kidô keisatsu patoreibâ;2002;Takuji Endo Fumihiko Takayama;#NOMBRE!;01/01/1970
Fainaru Fantajî Sebun Adobento Chirudoren;2005;Tetsuya Nomura Takeshi Nozue;#NOMBRE!;01/01/1970
Jiang shan mei ren;2008;Ching Siu-Tung Raymond Yip Wai-Man;#NOMBRE!;01/01/1970
Karisuma;2000;Kiyoshi Kurosawa;#NOMBRE!;01/01/1970
2009 loseuteu maemorijeu;2002;Lee Si-Myung;#NOMBRE!;01/01/1970
Posutoman Bur?su;1997;Hiroyuki Tanaka;#NOMBRE!;01/01/1970
Shokuzai;2013;Kiyoshi Kurosawa;#NOMBRE!;01/01/1970
Kaïro;2001;Kiyoshi Kurosawa;#NOMBRE!;01/01/1970
Kyua;1997;Kiyoshi Kurosawa;#NOMBRE!;01/01/1970
Yi Ngoi;2009;Soi Cheang;#NOMBRE!;01/01/1970
Tetsuo II: Body Hammer;1992;Shinya Tsukamoto;#NOMBRE!;01/01/1970
Xin Su shi jian;2009;Derek Yee;#NOMBRE!;01/01/1970
Yu pu tuan: Tou qing bao jian;1991;Michael Mak Dong-Kit;#NOMBRE!;01/01/1970
Ringu 0 : Bâsudei;2000;Norio Tsuruta;#NOMBRE!;01/01/1970
Ringu 2;1999;Hideo Nakata;#NOMBRE!;01/01/1970
San ging chaat goo si;2004;Benny Chan;#NOMBRE!;01/01/1970
Chakushin ari;2003;Takashi Miike;#NOMBRE!;01/01/1970
GANTZ;2011;Shinsuke Sato;#NOMBRE!;01/01/1970
Dead or Alive (DOA);2006;Corey Yuen;#NOMBRE!;01/01/1970
Dead or Alive: Hanzaisha;1999;Takashi Miike;#NOMBRE!;01/01/1970
Lung fu fong wan;1987;Ringo Lam;#NOMBRE!;01/01/1970
Lei ting zhan jing;2000;Stanley Tong Gwai-Lai;#NOMBRE!;01/01/1970
Baretto Barei;1998;Shinya Tsukamoto;#NOMBRE!;01/01/1970
Blood : The Last Vampire;2009;Chris Nahon;#NOMBRE!;01/01/1970
Moo-jeok-ja;2010;Song Hae-Sung;#NOMBRE!;01/01/1970
Azumi;2003;Ryûhei Kitamura;#NOMBRE!;01/01/1970
Oechul;2005;Hur Jin-Ho;#NOMBRE!;01/01/1970
The Big Short;2015;Adam McKay;8;02/01/2016
The Man Who Shot Liberty Valance;1962;John Ford;8;04/01/2016
The Angriest Man in Brooklyn;2014;Phil Alden Robinson;5;04/01/2016
La Tulipe noire;1964;Christian-Jaque;6;04/01/2016
Brave;2012;Mark Andrews Brenda Chapman Steve Purcell;#NOMBRE!;01/01/1970
Legion;2010;Scott Charles Stewart;#NOMBRE!;01/01/1970
The Man from U.N.C.L.E.;2015;Guy Ritchie;6;03/01/2016
Perfume: The Story of a Murderer;2006;Tom Tykwer;6;30/10/2015
Stupeur et Tremblements;2003;Alain Corneau;#NOMBRE!;01/01/1970
Le Château de ma mère;1990;Yves Robert;#NOMBRE!;01/01/1970
Everest;2015;Baltasar Kormákur;7;02/01/2016
Up;2009;Pete Docter Bob Peterson;7;01/01/2016
Balada Triste de Trompeta;2010;Àlex de la Iglesia;#NOMBRE!;01/01/1970
The Damned United;2009;Tom Hooper;#NOMBRE!;01/01/1970
Le Ballon d'or;1994;Cheik Doukouré;#NOMBRE!;01/01/1970
Fast & Furious;2009;Justin Lin;#NOMBRE!;01/01/1970
Dante's Peak;1997;Roger Donaldson;#NOMBRE!;01/01/1970
Anaconda;1997;Luis Llosa;#NOMBRE!;01/01/1970
The 51st State;2001;Ronny Yu;#NOMBRE!;01/01/1970
Volcano;1997;Mick Jackson;#NOMBRE!;01/01/1970
Entrapment;1999;Jon Amiel;#NOMBRE!;01/01/1970
Wild Wild West;1999;Barry Sonnenfeld;#NOMBRE!;01/01/1970
From Dusk till Dawn;1996;Robert Rodriguez;#NOMBRE!;01/01/1970
The Fast and the Furious;2001;Rob Cohen;#NOMBRE!;01/01/1970
From Hell;2001;Albert Hughes Allen Hughes;#NOMBRE!;01/01/1970
American Pie;1999;Paul Weitz Chris Weitz;#NOMBRE!;01/01/1970
Godzilla;1998;Roland Emmerich;#NOMBRE!;01/01/1970
The Mummy;1999;Stephen Sommers;#NOMBRE!;01/01/1970
Van Helsing;2004;Stephen Sommers;#NOMBRE!;01/01/1970
Mystery Men;1999;Kinka Usher;#NOMBRE!;01/01/1970
Gone in Sixty Seconds;2000;Dominic Sena;#NOMBRE!;01/01/1970
American Ninja 2 : The Confrontation;1987;Sam Firstenberg;#NOMBRE!;01/01/1970
The Man Who Knew Too Much;1956;Alfred Hitchcock;7;30/12/2015
Irrational Man;2015;Woody Allen;7;30/12/2015
Sicario;2015;Denis Villeneuve;7;29/12/2015
The Grand Budapest Hotel;2014;Wes Anderson;8;29/12/2015
Girlfight;2000;Karyn Kusama;#NOMBRE!;01/01/1970
Splice;2009;Vincenzo Natali;#NOMBRE!;01/01/1970
Final Destination;2000;James Wong;#NOMBRE!;01/01/1970
Mama;2013;Andy Muschietti;#NOMBRE!;01/01/1970
Jennifer's Body;2009;Karyn Kusama;#NOMBRE!;01/01/1970
The Darkest Hour;2011;Chris Gorak;#NOMBRE!;01/01/1970
Snow White and the Huntsman;2012;Rupert Sanders;#NOMBRE!;01/01/1970
The Woman in Black;2012;James Watkins;#NOMBRE!;01/01/1970
Jaws 2;1978;Jeannot Szwarc;#NOMBRE!;01/01/1970
The Invasion;2007;Oliver Hirschbiegel;#NOMBRE!;01/01/1970
La Jetée;1962;Chris Marker;8;29/12/2015
Anatomy of a Murder;1959;Otto Preminger;8;28/12/2015
The Green Inferno;2013;Eli Roth;5;27/12/2015
The Intern;2015;Nancy Meyers;6;23/12/2015
Strangers on a Train;1951;Alfred Hitchcock;7;22/12/2015
Un moment d’égarement;2015;Jean-Francois Richet;6;22/12/2015
Jupiter Ascending;2015;Lilly Wachowski Lana Wachowski;6;21/12/2015
Hippocrate;2014;Thomas Lilti;7;21/12/2015
Triangle;2009;Christopher Smith;6;20/12/2015
Good Luck Chuck;2007;Mark Helfrich;5;20/12/2015
Star Wars: The Force Awakens;2015;J.J. Abrams;6;17/12/2015
Maze Runner: The Scorch Trials;2015;Wes Ball;5;15/12/2015
Absolutely Anything;2015;Terry Jones;5;15/12/2015
On Her Majesty's Secret Service;1969;Peter R. Hunt;#NOMBRE!;01/01/1970
Living in Oblivion;1995;Tom DiCillo;#NOMBRE!;01/01/1970
Les Apprentis;1995;Pierre Salvadori;#NOMBRE!;01/01/1970
The Salvation;2014;Kristian Levring;6;21/11/2015
Spectre;2015;Sam Mendes;5;22/11/2015
Ant-Man;2015;Peyton Reed;6;22/11/2015
The Maze Runner;2014;Wes Ball;6;05/11/2015
The Martian;2015;Ridley Scott;7;10/11/2015
Crimson Peak;2015;Guillermo del Toro;7;17/10/2015
Les Profs 2;2015;Pierre-François Martin-Laval;5;23/10/2015
Jurassic World;2015;Colin Trevorrow;6;01/11/2015
We Are Your Friends;2015;Max Joseph;6;03/11/2015
Much Loved;2015;Nabil Ayouch;7;03/10/2015
Inside Out;2015;Pete Docter Ronnie del Carmen;8;22/10/2015
Tomorrowland;2015;Brad Bird;6;22/10/2015
Mon roi;2015;Maïwenn;6;25/10/2015
Le Talent de mes amis;2015;Alex Lutz;7;02/10/2015
Animal;2014;Brett Simmons;4;30/09/2015
Poltergeist;2015;Gil Kenan;6;26/09/2015
The Program;2015;Stephen Frears;5;23/09/2015
Bon Rétablissement !;2014;Jean Becker;6;05/09/2015
The Loneliness of the Long Distance Runner;1962;Tony Richardson;#NOMBRE!;01/01/1970
Another Day in Paradise;1999;Larry Clark;#NOMBRE!;01/01/1970
Tatie Danielle;1990;Étienne Chatiliez;#NOMBRE!;01/01/1970
Hancock;2008;Peter Berg;#NOMBRE!;01/01/1970
Hard Candy;2006;David Slade;#NOMBRE!;01/01/1970
The Hitcher;2007;Dave Meyers;#NOMBRE!;01/01/1970
Lara Croft: Tomb Raider;2001;Simon West;#NOMBRE!;01/01/1970
Replicant;2001;Ringo Lam;#NOMBRE!;01/01/1970
Clouds of Sils Maria;2014;Olivier Assayas;7;02/09/2015
Esu efu samurai fikushon;1998;Hiroyuki Nakano;#NOMBRE!;01/01/1970
The Night of the Hunter;1955;Charles Laughton;7;01/09/2015
Camp X-Ray;2014;Peter Sattler;6;31/08/2015
Rear Window;1954;Alfred Hitchcock;8;30/08/2015
Riddick;2013;David Twohy;#NOMBRE!;01/01/1970
Halloween II;2009;Rob Zombie;#NOMBRE!;01/01/1970
Sherlock Holmes;2009;Guy Ritchie;#NOMBRE!;01/01/1970
Scary Movie;2000;Keenen Ivory Wayans;#NOMBRE!;01/01/1970
Red Sonja;1985;Richard Fleischer;#NOMBRE!;01/01/1970
The Lord of the Rings;1978;Ralph Bakshi;#NOMBRE!;01/01/1970
Pirates of the Caribbean: At World's End;2007;Gore Verbinski;#NOMBRE!;01/01/1970
Pirates of the Caribbean: Dead Man's Chest;2006;Gore Verbinski;#NOMBRE!;01/01/1970
Sex and the City 2;2010;Michael Patrick King;#NOMBRE!;01/01/1970
Evolution;2001;Ivan Reitman;#NOMBRE!;01/01/1970
Sex Tape;2014;Jake Kasdan;#NOMBRE!;01/01/1970
Dolores Claiborne;1995;Taylor Hackford;#NOMBRE!;01/01/1970
The Last Man on Earth;1964;Ubaldo Ragona Sidney Salkow;#NOMBRE!;01/01/1970
Ghost Dog: The Way of the Samurai;1999;Jim Jarmusch;#NOMBRE!;01/01/1970
All Is Lost;2013;J.C. Chandor;#NOMBRE!;01/01/1970
Prisoners;2013;Denis Villeneuve;#NOMBRE!;01/01/1970
Man cheng jin dai huang jin jia;2006;Zh?ng Yì-Móu;#NOMBRE!;01/01/1970
The Cell;2000;Tarsem Singh;#NOMBRE!;01/01/1970
Astérix & Obélix contre César;1999;Claude Zidi;#NOMBRE!;01/01/1970
Queen of the Damned;2002;Michael Rymer;#NOMBRE!;01/01/1970
Battleship;2012;Peter Berg;#NOMBRE!;01/01/1970
Twilight;2008;Catherine Hardwicke;#NOMBRE!;01/01/1970
Clash of the Titans;2010;Louis Leterrier;#NOMBRE!;01/01/1970
2012;2009;Roland Emmerich;#NOMBRE!;01/01/1970
San Andreas;2015;Brad Peyton;4;28/08/2015
12 Angry Men;1957;Sidney Lumet;8;25/08/2015
Foh siu hung lin ji;1994;Ringo Lam;#NOMBRE!;01/01/1970
Siu ngo gong woo: Dung Fong Bat Bai;1992;Ching Siu-Tung Stanley Tong Gwai-Lai;#NOMBRE!;01/01/1970
Conan the Barbarian;2011;Marcus Nispel;#NOMBRE!;01/01/1970
Quantum of Solace;2008;Marc Forster;#NOMBRE!;01/01/1970
Scooby-Doo;2002;Raja Gosnell;#NOMBRE!;01/01/1970
Addams Family Values;1993;Barry Sonnenfeld;#NOMBRE!;01/01/1970
The Addams Family;1991;Barry Sonnenfeld;#NOMBRE!;01/01/1970
South Park: Bigger Longer & Uncut;1999;Trey Parker;#NOMBRE!;01/01/1970
Warm Bodies;2013;Jonathan Levine;#NOMBRE!;01/01/1970
Meng long guo jiang;1972;Bruce Lee;#NOMBRE!;01/01/1970
Hostel;2005;Eli Roth;#NOMBRE!;01/01/1970
I Love You Phillip Morris;2010;Glenn Ficarra John Requa;#NOMBRE!;01/01/1970
Cube;1997;Vincenzo Natali;#NOMBRE!;01/01/1970
The Next Three Days;2010;Paul Haggis;#NOMBRE!;01/01/1970
La Vache et le Prisonnier;1959;Henri Verneuil;#NOMBRE!;01/01/1970
O Brother Where Art Thou?;2000;Joel Coen Ethan Coen;#NOMBRE!;01/01/1970
Annabelle;2014;John R. Leonetti;4;21/08/2015
Robin des Bois - La Véritable Histoire;2015;Anthony Marciano;5;21/08/2015
Mission: Impossible - Rogue Nation;2015;Christopher McQuarrie;6;17/08/2015
Rebecca;1940;Alfred Hitchcock;7;13/08/2015
Le Héros de la famille;2006;Thierry Klifa;6;13/08/2015
SMS;2014;Gabriel Julien-Laferrière;6;01/01/1970
Street Fighter: The Legend of Chun-Li;2009;Andrzej Bartkowiak;#NOMBRE!;01/01/1970
Batman & Robin;1997;Joel Schumacher;#NOMBRE!;01/01/1970
Batman Forever;1995;Joel Schumacher;#NOMBRE!;01/01/1970
Highlander II: The Quickening;1991;Russell Mulcahy;#NOMBRE!;01/01/1970
Rocky IV;1985;Sylvester Stallone;#NOMBRE!;01/01/1970
The One;2001;James Wong;#NOMBRE!;01/01/1970
Southland Tales;2007;Richard Kelly;#NOMBRE!;01/01/1970
Evil Dead 2: Dead by Dawn;1987;Sam Raimi;#NOMBRE!;01/01/1970
Youth in Revolt;2010;Miguel Arteta;#NOMBRE!;01/01/1970
Furious 7;2015;James Wan;5;10/08/2015
Un village presque parfait;2015;Stéphane Meunier;6;01/01/1970
Les Combattants;2014;Thomas Cailley;6;01/07/2015
Dark Places;2015;Gilles Paquet-Brenner;6;01/08/2015
Selfless;2015;Tarsem Singh;5;01/01/1970
Step Up: All In;2014;Trish Sie;5;01/01/1970
Pourquoi j'ai pas mangé mon père;2015;Jamel Debbouze;6;01/01/1970
Les Vacances du Petit Nicolas;2014;Laurent Tirard;5;29/06/2015
Dirty Harry;1971;Don Siegel;#NOMBRE!;01/01/1970
Willy Wonka and the Chocolate Factory;1971;Mel Stuart;#NOMBRE!;01/01/1970
Poltergeist;1982;Tobe Hooper;#NOMBRE!;01/01/1970
Chariots of Fire;1981;Hugh Hudson;#NOMBRE!;01/01/1970
Beverly Hills Cop 2;1987;Tony Scott;#NOMBRE!;01/01/1970
This Is Spinal Tap;1984;Rob Reiner;#NOMBRE!;01/01/1970
Sien nui yau wan;2011;Wilson Yip;#NOMBRE!;01/01/1970
Siu-sin;1997;Andrew Chan Tetsuya Endo Tsui Hark;#NOMBRE!;01/01/1970
Sien nui yau wan II yan gaan do;1990;Ching Siu-Tung;#NOMBRE!;01/01/1970
Sien nui yau wan;1987;Ching Siu-Tung;#NOMBRE!;01/01/1970
Manon des sources;1986;Claude Berri;#NOMBRE!;01/01/1970
Sicko;2007;Michael Moore;#NOMBRE!;01/01/1970
Roger and Me;1990;Michael Moore;#NOMBRE!;01/01/1970
Natural Born Killers;1994;Oliver Stone;#NOMBRE!;01/01/1970
Boogie Nights;1997;Paul Thomas Anderson;#NOMBRE!;01/01/1970
The Ice Storm;1997;Ang Lee;#NOMBRE!;01/01/1970
Meet the Parents;2000;Jay Roach;#NOMBRE!;01/01/1970
Y? y?;2000;Edward Yang;#NOMBRE!;01/01/1970
Being John Malkovich;1999;Spike Jonze;#NOMBRE!;01/01/1970
No Man's Land;2001;Danis Tanovi?;#NOMBRE!;01/01/1970
Jopog manura 2: Dolaon jeonseol;2003;Heung-sun Jeong;#NOMBRE!;01/01/1970
Jopog Manura;2001;Lim Jin-Kyu;#NOMBRE!;01/01/1970
Gamuneui yeonggwang;2002;Heung-sun Jeong;#NOMBRE!;01/01/1970
Jopog Manura 3;2006;Jo Jin-gyu;#NOMBRE!;01/01/1970
Saat po long;2005;Wilson Yip;#NOMBRE!;01/01/1970
Yip Man;2008;Wilson Yip;#NOMBRE!;01/01/1970
Yip Man 2;2010;Wilson Yip;#NOMBRE!;01/01/1970
Cheut ai kup gei;2007;Pang Ho-Cheung;#NOMBRE!;01/01/1970
Youyuan jingmeng;2001;Yonfan Cheung Man Wu Xi-guo;#NOMBRE!;01/01/1970
Suchwiin bulmyeong;2001;Kim Ki-Duk;#NOMBRE!;01/01/1970
Samaria;2004;Kim Ki-Duk;#NOMBRE!;01/01/1970
Haeanseon;2002;Kim Ki-Duk;#NOMBRE!;01/01/1970
Gojitmal;1999;Jang Sun-Woo;#NOMBRE!;01/01/1970
Swiri;1999;Kang Je-Gyu;#NOMBRE!;01/01/1970
Up in the Air;2009;Jason Reitman;#NOMBRE!;01/01/1970
Starsky & Hutch;2004;Todd Phillips;#NOMBRE!;01/01/1970
The Insider;1999;Michael Mann;#NOMBRE!;01/01/1970
Cop Land;1997;James Mangold;#NOMBRE!;01/01/1970
All the Boys Love Mandy Lane;2010;Jonathan Levine;#NOMBRE!;01/01/1970
21 Grams;2003;Alejandro González Iñárritu;#NOMBRE!;01/01/1970
Hellboy;2004;Guillermo del Toro;#NOMBRE!;01/01/1970
The American;2010;Anton Corbijn;#NOMBRE!;01/01/1970
Ender's Game;2013;Gavin Hood;#NOMBRE!;01/01/1970
Libre et Assoupi;2014;Benjamin Guedj;#NOMBRE!;01/01/1970
Premium Rush;2012;David Koepp;#NOMBRE!;01/01/1970
The Five-Year Engagement;2012;Nicholas Stoller;#NOMBRE!;01/01/1970
Easy A;2010;Will Gluck;#NOMBRE!;01/01/1970
Run Fatboy Run;2007;David Schwimmer;#NOMBRE!;01/01/1970
A Knight's Tale;2001;Brian Helgeland;#NOMBRE!;01/01/1970
Jean-Philippe;2006;Laurent Tuel;#NOMBRE!;01/01/1970
The Dead Zone;1983;David Cronenberg;#NOMBRE!;01/01/1970
The Interpreter;2005;Sydney Pollack;#NOMBRE!;01/01/1970
Le Créateur;1999;Albert Dupontel;#NOMBRE!;01/01/1970
Domino;2005;Tony Scott;#NOMBRE!;01/01/1970
