Title;Year;Directors;Rating10;WatchedDate
Hellbound: Hellraiser II;1988;Tony Randel;6;24/10/2022
Qu'est-ce qu'on a tous fait au Bon Dieu ?;2022;Philippe de Chauveron;5;09/10/2022
Barbaque;2021;Fabrice Eboué;4;13/11/2022
Don't Breathe;2016;Fede Alvarez;6;28/10/2022
En corps;2022;Cédric Klapisch;7;09/10/2022
Goliath;2022;Frédéric Tellier;5;13/10/2022
Us;2019;Jordan Peele;6;13/10/2022
Super-héros malgré lui;2022;Philippe Lacheau;4;09/10/2022
Nou fo;2021;Benny Chan;6;20/11/2022
Weird: The Al Yankovic Story;2022;Eric Appel;5;19/11/2022
The Suicide Squad;2021;James Gunn;5;18/11/2022
Menteur;2022;Olivier Baroux;4;14/11/2022
La French;2014;Cédric Jimenez;6;18/11/2022
La Nuit du 12;2022;Dominik Moll;7;14/11/2022
Don't Breathe 2;2021;Rodo Sayagues;4;09/11/2022
Pearl;2022;Ti West;4;02/11/2022
Barbarian;2022;Zach Cregger;6;27/10/2022
Novembre;2022;Cédric Jimenez;6;22/10/2022
Hellraiser;2022;David Bruckner;3;17/10/2022
Hellraiser;1987;Clive Barker;6;19/10/2022
Three Thousand Years of Longing;2022;George Miller;4;06/09/2022
Everything Everywhere All at Once;2022;Daniel Kwan Daniel Scheinert;7;09/09/2022
En attendant Bojangles;2022;Régis Roinsard;4;15/08/2022
Fei ying gai wak;1991;Jackie Chan;6;15/08/2022
Se qing nan nu;1996;Law Chi-Leung Derek Yee;6;15/08/2022
Ah Fei jing juen;1990;Wong Kar-Wai;7;13/08/2022
10 Things I Hate About you;1999;Gil Junger;5;12/08/2022
Striking Distance;1993;Rowdy Herrington;4;02/08/2022
To Have and Have Not;1945;Howard Hawks;7;11/08/2022
Yi dai zong shi;2013;Wong Kar-Wai;8;02/07/2017
My Blueberry Nights;2007;Wong Kar-Wai;#NOMBRE!;01/01/1970
Wong gok ka moon;1988;Wong Kar-Wai;7;21/04/2021
Fa yeung nin wa;2000;Wong Kar-Wai;9;01/06/2018
Predators;2010;Nimród Antal;4;09/08/2022
Bullet Train;2022;David Leitch;6;06/08/2022
Prey;2022;Dan Trachtenberg;5;08/08/2022
Heeojil Gyeolsim;2022;Park Chan-Wook;6;25/07/2022
Not Okay;2022;Quinn Shephard;4;01/08/2022
A Fish Called Wanda;1988;Charles Crichton;7;24/07/2022
Le Goût des autres;2000;Agnès Jaoui;8;21/07/2022
The Hustle;2019;Chris Addison;3;23/07/2022
Men;2022;Alex Garland;7;16/07/2022
Lightyear;2022;Angus MacLane;6;16/07/2022
The Lost City;2022;Aaron Nee Adam Nee;4;15/07/2022
Vanishing;2022;Denis Dercourt;5;13/07/2022
Promising Young Woman;2020;Emerald Fennell;7;13/07/2022
Benedetta;2021;Paul Verhoeven;6;03/03/2022
The Bubble;2022;Judd Apatow;5;06/04/2022
Moonfall;2022;Roland Emmerich;4;01/01/1970
Jurassic World: Dominion;2022;Colin Trevorrow;5;12/07/2022
Battle at Big Rock;2019;Colin Trevorrow;5;12/07/2022
Downton Abbey: A New Era;2022;Simon Curtis;6;11/07/2022
Elvis;2022;Baz Luhrmann;7;05/07/2022
Champagne !;2022;Nicolas Vanier;4;04/07/2022
Irréductible;2022;Jérôme Commandeur;6;03/07/2022
Vilaine;2008;Jean-Patrick Benes Allan Mauduit;5;28/06/2022
Licorice Pizza;2021;Paul Thomas Anderson;6;25/06/2022
Eiffel;2021;Martin Bourboulon;4;19/06/2022
Stillwater;2021;Tom McCarthy;6;01/01/1970
The Painted Veil;2006;John Curran;6;04/03/2022
X;2022;Ti West;5;13/06/2022
Ambulance;2022;Michael Bay;6;12/06/2022
Jurassic World: Fallen Kingdom;2018;J. A. Bayona;4;11/06/2022
Top Gun;1986;Tony Scott;7;05/06/2022
Top Gun: Maverick;2022;Joseph Kosinski;6;06/06/2022
Coupez !;2022;Michel Hazanavicius;7;23/05/2022
The Northman;2022;Robert Eggers;6;15/05/2022
Venom: Let There Be Carnage;2021;Andy Serkis;3;07/05/2022
Venom;2018;Ruben Fleischer;4;04/05/2022
Loin du périph;2022;Louis Leterrier;4;06/05/2022
Qing dian da sheng;2005;Jeffrey Lau;#NOMBRE!;01/01/1970
The Mist;2007;Frank Darabont;5;02/05/2022
Svart krabba;2022;Adam Berg;4;18/04/2022
Last Night in Soho;2021;Edgar Wright;6;31/03/2022
Keeping the Faith;2000;Edward Norton;#NOMBRE!;01/01/1970
The People vs. Larry Flynt;1996;Miloš Forman;#NOMBRE!;01/01/1970
Deux moi;2019;Cédric Klapisch;6;17/08/2020
Mou gaan dou III: Jung gik mou gaan;2003;Alan Mak Andrew Lau;4;29/03/2022
Les Crevettes pailletées;2019;Cédric Le Gallo Maxime Govare;6;29/03/2022
L'Opération Corned Beef;1991;Jean-Marie Poiré;6;25/03/2022
Mou gaan dou II;2003;Andrew Lau Alan Mak;5;25/03/2022
Mou gaan dou;2002;Andrew Lau Alan Mak;8;22/03/2022
Turning Red;2022;Domee Shi;7;14/03/2022
Nightmare Alley;2021;Guillermo del Toro;7;05/03/2022
Nordsjøen;2021;John Andreas Andersen;5;02/03/2022
The Batman;2022;Matt Reeves;5;02/03/2022
Onoda;2021;Arthur Harari;8;01/03/2022
Doraibu mai kâ;2021;Ryusuke Hamaguchi;7;01/03/2022
Scream;2022;Matt Bettinelli-Olpin Tyler Gillett;4;28/02/2022
Downton Abbey;2019;Michael Engler;6;05/02/2022
L'Origine du monde;2021;Laurent Lafitte;7;21/02/2022
Molalsaenseu;2022;Park Hyun-Jin;5;11/02/2022
Zero Dark Thirty;2012;Kathryn Bigelow;8;03/02/2022
25th Hour;2002;Spike Lee;#NOMBRE!;01/01/1970
Jungle Cruise;2021;Jaume Collet-Serra;5;25/01/2022
Boîte noire;2021;Yann Gozlan;7;18/01/2022
Yau doh lung fu bong;2004;Johnnie To;7;18/01/2022
Pleasure;2021;Ninja Thyberg;7;13/01/2022
No Time to Die;2021;Cary Joji Fukunaga;4;12/01/2022
Le Discours;2021;Laurent Tirard;7;01/12/2021
Dirty Dancing;1987;Emile Ardolino;6;21/06/2021
Il Divin Codino;2021;Letizia Lamartire;4;12/06/2021
Army of the Dead;2021;Zack Snyder;4;12/06/2021
Godzilla vs. Kong;2021;Adam Wingard;2;01/08/2021
8 rue de l'Humanité;2021;Dany Boon;3;01/11/2021
Don't Look Up;2021;Adam McKay;4;26/12/2021
France;2021;Bruno Dumont;6;09/01/2022
JeSuisLà;2020;Éric Lartigau;7;05/11/2020
Les Beaux Gosses;2009;Riad Sattouf;8;01/01/2022
Quatre garçons pleins d'avenir;1997;Jean-Paul Lilienfeld;6;01/01/2022
Kaamelott - Premier Volet;2021;Alexandre Astier;7;27/07/2021
The Ten Commandments;1956;Cecil B. DeMille;9;27/12/2021
J'accuse;2019;Roman Polanski;8;20/12/2019
Adieu les cons;2020;Albert Dupontel;7;19/12/2021
The French Dispatch;2021;Wes Anderson;6;06/11/2021
L'amour est un crime parfait;2014;Jean-Marie Larrieu Arnaud Larrieu;6;03/11/2021
Free Guy;2021;Shawn Levy;6;17/10/2021
The Last Duel;2021;Ridley Scott;7;15/10/2021
Old;2021;M. Night Shyamalan;5;15/10/2021
Dune;2021;Denis Villeneuve;4;02/10/2021
Live Free or Die Hard;2007;Len Wiseman;6;27/09/2021
Le Cercle rouge;1970;Jean-Pierre Melville;8;12/09/2021
Le Cerveau;1969;Gérard Oury;#NOMBRE!;01/01/1970
BAC Nord;2021;Cédric Jimenez;6;24/08/2021
OSS 117 - Alerte rouge en Afrique noire;2021;Nicolas Bedos;6;15/08/2021
Titane;2021;Julia Ducournau;4;05/08/2021
Greyhound;2020;Aaron Schneider;5;31/07/2021
Downsizing;2017;Alexander Payne;4;31/07/2021
Annette;2021;Leos Carax;7;26/07/2021
Geostorm;2017;Dean Devlin;4;18/07/2021
Rim of the World;2019;McG;3;18/07/2021
A Quiet Place Part II;2021;John Krasinski;6;16/07/2021
The Dead Don't Die;2019;Jim Jarmusch;5;15/07/2021
Love and Monsters;2020;Michael Matthews;5;12/07/2021
Comment je suis devenu super-héros;2021;Douglas Attal;6;12/07/2021
Présidents;2021;Anne Fontaine;4;06/07/2021
The Tomorrow War;2021;Chris McKay;4;05/07/2021
Rocky II;1979;Sylvester Stallone;6;20/05/2021
Tom Clancy's Without Remorse;2021;Stefano Sollima;4;15/05/2021
The Woman in the Window;2021;Joe Wright;5;15/05/2021
Yesterday;2019;Danny Boyle;7;19/07/2019
Ni neibian jidian;2001;Tsai Ming-Liang;#NOMBRE!;01/01/1970
Du zhan;2013;Johnnie To;7;04/05/2021
Turistas;2006;John Stockwell;#NOMBRE!;01/01/1970
Samba;2014;Olivier Nakache Eric Toledano;6;26/02/2015
Mortal Kombat;2021;Simon McQuoid;3;26/04/2021
Zatoichi;2003;Takeshi Kitano;7;22/04/2021
30 jours max;2020;Tarek Boudali;3;01/04/2021
Daylight;1996;Rob Cohen;4;19/04/2021
Les Anges gardiens;1995;Jean-Marie Poiré;4;17/04/2021
Sono otoko kyobo ni tsuki;1989;Takeshi Kitano;7;15/04/2021
War of the Worlds;2005;Steven Spielberg;5;12/04/2021
Rocky;1976;John G. Avildsen;8;10/04/2021
Way Down;2021;Jaume Balagueró;5;09/04/2021
The Vault;2017;Dan Bush;5;09/04/2021
Soul;2020;Pete Docter Kemp Powers;7;02/04/2021
Pearl Harbor;2001;Michael Bay;4;05/04/2021
Moonrise Kingdom;2012;Wes Anderson;8;14/03/2021
Sentinelle;2021;Julien Leclercq;3;08/03/2021
Palm Springs;2020;Max Barbakow;7;12/09/2020
