Title,Year,Directors,Rating10,WatchedDate
"Qu'est-ce qu'on a tous fait au Bon Dieu ?",2022,Philippe de Chauveron,5,2022-10-09
"Barbaque",2021,Fabrice Eboué,4,2022-11-13
"Don't Breathe",2016,Fede Alvarez,6,2022-10-28
"En corps",2022,Cédric Klapisch,7,2022-10-09
"Goliath",2022,Frédéric Tellier,5,2022-10-13
"Us",2019,Jordan Peele,6,2022-10-13
"Super-héros malgré lui",2022,Philippe Lacheau,4,2022-10-09
"Nou fo",2021,Benny Chan,6,2022-11-20
"Weird: The Al Yankovic Story",2022,Eric Appel,5,2022-11-19
"The Suicide Squad",2021,James Gunn,5,2022-11-18
"Menteur",2022,Olivier Baroux,4,2022-11-14
"La French",2014,Cédric Jimenez,6,2022-11-18
"La Nuit du 12",2022,Dominik Moll,7,2022-11-14
"Don't Breathe 2",2021,Rodo Sayagues,4,2022-11-09
"Pearl",2022,Ti West,4,2022-11-02
"Barbarian",2022,Zach Cregger,6,2022-10-27
"Novembre",2022,Cédric Jimenez,6,2022-10-22
"Hellraiser",2022,David Bruckner,3,2022-10-17
"Hellraiser",1987,Clive Barker,6,2022-10-19
"Three Thousand Years of Longing",2022,George Miller,4,2022-09-06
"Everything Everywhere All at Once",2022,Daniel Kwan Daniel Scheinert,7,2022-09-09
"En attendant Bojangles",2022,Régis Roinsard,4,2022-08-15
"Fei ying gai wak",1991,Jackie Chan,6,2022-08-15
"Se qing nan nu",1996,Law Chi-Leung Derek Yee,6,2022-08-15
"Ah Fei jing juen",1990,Wong Kar-Wai,7,2022-08-13
"10 Things I Hate About you",1999,Gil Junger,5,2022-08-12
"Striking Distance",1993,Rowdy Herrington,4,2022-08-02
"To Have and Have Not",1945,Howard Hawks,7,2022-08-11
"Yi dai zong shi",2013,Wong Kar-Wai,8,2017-07-02
"My Blueberry Nights",2007,Wong Kar-Wai,NaN,1970-01-01
"Wong gok ka moon",1988,Wong Kar-Wai,7,2021-04-21
"Fa yeung nin wa",2000,Wong Kar-Wai,9,2018-06-01
"Predators",2010,Nimród Antal,4,2022-08-09
"Bullet Train",2022,David Leitch,6,2022-08-06
"Prey",2022,Dan Trachtenberg,5,2022-08-08
"Heeojil Gyeolsim",2022,Park Chan-Wook,6,2022-07-25
"Not Okay",2022,Quinn Shephard,4,2022-08-01
"A Fish Called Wanda",1988,Charles Crichton,7,2022-07-24
"Le Goût des autres",2000,Agnès Jaoui,8,2022-07-21
"The Hustle",2019,Chris Addison,3,2022-07-23
"Men",2022,Alex Garland,7,2022-07-16
"Lightyear",2022,Angus MacLane,6,2022-07-16
"The Lost City",2022,Aaron Nee Adam Nee,4,2022-07-15
"Vanishing",2022,Denis Dercourt,5,2022-07-13
"Promising Young Woman",2020,Emerald Fennell,7,2022-07-13
"Benedetta",2021,Paul Verhoeven,6,2022-03-03
"The Bubble",2022,Judd Apatow,5,2022-04-06
"Moonfall",2022,Roland Emmerich,4,1970-01-01
"Jurassic World: Dominion",2022,Colin Trevorrow,5,2022-07-12
"Battle at Big Rock",2019,Colin Trevorrow,5,2022-07-12
"Downton Abbey: A New Era",2022,Simon Curtis,6,2022-07-11
"Elvis",2022,Baz Luhrmann,7,2022-07-05
"Champagne !",2022,Nicolas Vanier,4,2022-07-04
"Irréductible",2022,Jérôme Commandeur,6,2022-07-03
