Title,Year,Directors,Rating10,WatchedDate
"Grave",2017,Julia Ducournau,9,2017-06-11
"The Neon Demon",2016,Nicolas Winding Refn,8,2017-06-11
"Alien vs. Predator",2004,Paul W. S. Anderson,4,2017-06-05
"War Machine",2017,David Michôd,6,2017-05-28
"Colossal",2017,Nacho Vigalondo,6,2017-05-27
"L'Outsider",2016,Christophe Barratier,6,2017-05-26
"Robin Hood",2010,Ridley Scott,6,2017-06-09
"Project X",2012,Nima Nourizadeh,NaN,1970-01-01
"Fantastic Four",2005,Tim Story,NaN,1970-01-01
"The Fast and the Furious: Tokyo Drift",2006,Justin Lin,NaN,1970-01-01
"2 Fast 2 Furious",2003,John Singleton,NaN,1970-01-01
"Lara Croft: Tomb Raider - The Cradle of Life",2003,Jan de Bont,NaN,1970-01-01
"Fantastic Four: Rise of the Silver Surfer",2007,Tim Story,NaN,1970-01-01
"Baise-moi",2000,Virginie Despentes Coralie Trinh Thi,NaN,1970-01-01
"3 zéros",2002,Fabien Onteniente,NaN,1970-01-01
"Dragon Ball the Magic Begins",NaN,Chan Jun-leung,NaN,1970-01-01
"Book of Shadows: Blair Witch 2",2000,Joe Berlinger,NaN,1970-01-01
"Alien: Covenant",2017,Ridley Scott,6,2017-05-21
"Un homme à la hauteur",2016,Laurent Tirard,5,2017-04-17
"Captain America: Civil War",2016,Anthony Russo Joe Russo,5,2017-03-19
"X-Men : Apocalypse",2016,Bryan Singer,4,2017-03-18
"Les Tuche 2 : Le Rêve américain",2016,Olivier Baroux,3,2017-02-08
"The Magnificent Seven",2016,Antoine Fuqua,5,2017-01-29
"Inferno",2016,Ron Howard,4,2017-01-01
"Leviathan",1989,George Pan Cosmatos,NaN,1970-01-01
"Life",2017,Daniel Espinosa,6,2017-05-02
"Our Kind of Traitor",2016,Susanna White,5,2017-04-28
"Le Convoi",2016,Frédéric Schoendoerffer,5,2017-05-01
"Éperdument",2016,Pierre Godeau,6,2017-04-29
"Looper",2012,Rian Johnson,7,2017-04-24
"Johnny Mnemonic",1995,Robert Longo,NaN,1970-01-01
"Ghost in the Shell",2017,Rupert Sanders,5,2017-04-18
"Jerry Maguire",1996,Cameron Crowe,5,2017-04-17
"Nick and Norah's Infinite Playlist",2008,Peter Sollett,5,2017-04-07
"I.T.",2016,John Moore,5,2017-03-19
"Marseille",2016,Kad Merad,5,2017-03-02
"Les Kaïra",2012,Franck Gastambide,4,2017-03-02
"Jack Reacher: Never Go Back",2016,Edward Zwick,4,2017-04-17
"Any Given Sunday",1999,Oliver Stone,8,2017-04-15
"The Reader",2008,Stephen Daldry,7,2017-04-10
"Little Buddha",1993,Bernardo Bertolucci,7,2017-04-09
"Hacksaw Ridge",2016,Mel Gibson,7,2017-03-28
"Legends of the Fall",1994,Edward Zwick,6,2017-03-28
"The Remains of the Day",1993,James Ivory,8,2017-03-28
"Daddy's Home",2015,Sean Anders,6,2017-03-19
"Triple 9",2016,John Hillcoat,7,2017-03-11
"La Folle Histoire de Max & Léon",2016,Jonathan Barré,6,2017-03-10
"Joséphine s'arrondit",2016,Marilou Berry,5,2017-03-12
"Logan",2017,James Mangold,7,2017-03-12
"Moonlight",2016,Barry Jenkins,7,2017-03-05
"The Counselor",2013,Ridley Scott,4,2017-03-04
"Homefront",2013,Gary Fleder,6,2017-03-04
"The Divide",2012,Xavier Gens,NaN,1970-01-01
"Doctor Strange",2016,Scott Derrickson,6,2017-02-22
"Allied",2016,Robert Zemeckis,6,2017-02-19
"Misconduct",2016,Shintaro Shimosawa,5,2017-02-18
"2 Guns",2013,Baltasar Kormákur,6,2017-02-13
"The Kingdom",2007,Peter Berg,NaN,1970-01-01
"Five",2016,Igor Gotesman,6,2017-02-12
"Arrêtez-moi là",2016,Gilles Bannier,6,2017-02-11
"Passengers",2016,Morten Tyldum,6,2017-02-10
"Jumper",2008,Doug Liman,6,2017-02-09
"Jjakpae",2006,Ryoo Seung-Wan,NaN,1970-01-01
"La La Land",2016,Damien Chazelle,8,2017-02-05
"Ahgassi",2016,Park Chan-Wook,7,1970-01-01
"Hwanghae",2010,Na Hong-Jin,6,2017-01-29
"Salt",2010,Phillip Noyce,NaN,1970-01-01
"The Net",1995,Irwin Winkler,NaN,1970-01-01
"Chugyeogja",2008,Na Hong-Jin,8,2017-01-21
"Le Prénom",2012,Alexandre de La Patellière Matthieu Delaporte,8,2017-01-15
"The Great Wall",2016,Zhāng Yì-Móu,5,2017-01-15
"Jane Got a Gun",2016,Gavin O'Connor,6,2017-01-08
"The Devil Wears Prada",2006,David Frankel,6,2017-01-05
"Rogue One - A Star Wars Story",2016,Gareth Edwards,6,2017-01-02
"Joy",2015,David O. Russell,7,2017-01-02
"Bienvenue à Marly-Gomont",2016,Julien Rambaldi,6,2016-11-05
"The Goonies",1985,Richard Donner,8,2016-12-20
"The Brass Teapot",2013,Ramaa Mosley,6,2016-12-25
"To the Wonder",2013,Terrence Malick,7,2016-12-23
"Stardust",2007,Matthew Vaughn,7,2016-12-23
"Back to the Future Part II",1989,Robert Zemeckis,8,2016-12-05
"Bridget Jones: The Edge of Reason",2004,Beeban Kidron,5,2016-11-19
"The Sorcerer's Apprentice",2010,Jon Turteltaub,5,2016-12-15
"The Woman in Black 2 : Angel of Death",2015,Tom Harper,5,2016-12-18
"Arrival",2016,Denis Villeneuve,7,2016-12-11
"Horns",2013,Alexandre Aja,6,2016-11-16
"The Girl on the Train",2016,Tate Taylor,5,2016-10-31
"Deepwater Horizon",2016,Peter Berg,7,2016-10-17
"Café Society",2016,Woody Allen,6,2016-10-09
"Captain Phillips",2013,Paul Greengrass,7,2016-09-25
"Nous trois ou rien",2015,Kheiron,7,2016-09-27
"Cell",2016,Tod Williams,7,2016-09-21
"The Shallows",2016,Jaume Collet-Serra,6,2016-09-18
"L'Etudiante et Monsieur Henri",2015,Ivan Calbérac,7,2016-09-07
"Adopte un veuf",2016,François Desagnat,6,2016-09-05
"Intouchables",2011,Olivier Nakache Eric Toledano,8,2016-08-28
"Ghostbusters",1984,Ivan Reitman,7,1970-01-01
"Rosalie Blum",2016,Julien Rappeneau,6,2016-08-29
"The VVitch: A New-England Folktale",2016,Robert Eggers,7,2016-08-21
"The Exorcist",1973,William Friedkin,7,2016-08-20
"Une famille à louer",2015,Jean-Pierre Améris,5,2016-07-20
"The Player",1992,Robert Altman,7,2016-08-20
"Busanhaeng",2016,Yeon Sang-Ho,6,2016-08-18
"Joséphine",2013,Agnès Obadia,3,2016-07-24
"Paris à tout prix",2013,Reem Kherici,6,2016-07-24
"The Conjuring 2",2016,James Wan,6,2016-07-16
"Les Rayures du zèbre",2014,Benoît Mariage,6,2016-06-20
"Goal!",2005,Danny Cannon,6,2016-06-12
"World War Z",2013,Marc Forster,7,2016-06-12
"Warcraft",2016,Duncan Jones,6,2016-06-09
"Approaching the Unknown",2016,Mark Elijah Rosenberg,5,2016-06-03
"Rush Hour 3",2007,Brett Ratner,6,2016-05-31
"Kick-Ass 2",2013,Jeff Wadlow,7,2016-05-29
"Rush Hour 2",2001,Brett Ratner,6,2016-05-24
"Super",2011,James Gunn,NaN,1970-01-01
"Die Hard",1988,John McTiernan,8,2016-05-10
"The Place Beyond the Pines",2013,Derek Cianfrance,7,2016-05-16
"Spotlight",2015,Tom McCarthy,7,2016-04-28
"Les Gorilles",2015,Tristan Aurouet,3,2016-05-09
"The Omen",1976,Richard Donner,6,2016-05-07
"10 Cloverfield Lane",2016,Dan Trachtenberg,5,2016-05-06
"Pension complète",2015,Florent-Emilio Siri,4,2016-05-06
"The Hole",2009,Joe Dante,NaN,1970-01-01
"Comment c'est loin",2015,Aurélien Cotentin (Orelsan) Christophe Offenstein,7,2016-04-12
"Friday Night Lights",2004,Peter Berg,6,2016-04-10
"American Ultra",2015,Nima Nourizadeh,5,2016-04-10
"Deadpool",2016,Tim Miller,6,2016-04-15
"Babysitting 2",2015,Nicolas Benamou Philippe Lacheau,6,2016-04-09
"Focus",2015,Glenn Ficarra John Requa,6,2016-04-09
"The Signal",2014,William Eubank,5,2016-03-29
"Batman v Superman: Dawn of Justice",2016,Zack Snyder,7,2016-04-07
"Byooti Insaideu",2015,Baek Jong-Yeol,7,2016-03-27
"The Revenant",2015,Alejandro González Iñárritu,8,2016-03-27
"Dàoshi xiàshān",2015,Chén Kǎi-Gē,5,2016-03-20
"The Fifth Wave",2016,J Blakeson,4,2016-03-20
"Ex Machina",2015,Alex Garland,7,2016-03-20
"Burnt",2015,John Wells,6,2016-03-19
"The Longest Day",1962,Ken Annakin Andrew Marton Bernhard Wicki,7,2016-03-14
"Kurt Cobain: Montage of Heck",2015,Brett Morgen,8,2016-03-12
"Crouching Tiger Hidden Dragon: Sword of Destiny",2016,Yuen Woo-Ping,5,2016-02-29
"Night at the Museum: Battle of the Smithsonian",2009,Shawn Levy,6,2016-02-11
"Je suis à vous tout de suite",2015,Baya Kasmi,6,2016-02-11
"Scouts Guide to the Zombie Apocalypse",2015,Christopher Landon,4,2016-02-11
"Les Nouvelles Aventures d'Aladin",2015,Arthur Benzaquen,5,2016-02-11
"The Good Dinosaur",2015,Peter Sohn,6,1970-01-01
"Lolo",2015,Julie Delpy,6,2016-02-23
"The Bling Ring",2013,Sofia Coppola,7,2016-02-18
"Timbuktu",2014,Abderrahmane Sissako,7,2016-02-16
"Predestination",2014,Michael Spierig Peter Spierig,7,2016-02-13
"Infini",2015,Shane Abbess,5,2016-02-12
"Monsieur Papa",2011,Kad Merad,6,2016-02-09
"Fiston",2014,Pascal Bourdiaux,6,2016-02-09
"Made in France",2016,Nicolas Boukhrief,6,2016-02-07
"The Hateful Eight",2015,Quentin Tarantino,7,2016-01-16
"Ted",2012,Seth MacFarlane,6,2016-01-24
"The Happening",2008,M. Night Shyamalan,5,2016-01-19
"Outbreak",1995,Wolfgang Petersen,6,2016-01-19
"Jaws 3-D",1983,Joe Alves,3,2016-01-15
"Tàipíng lún",2015,John Woo,7,2016-01-11
"Tàipíng lún",2014,John Woo,7,2016-01-11
"36 quai des Orfèvres",2004,Olivier Marchal,NaN,1970-01-01
"L'Adversaire",2002,Nicole Garcia,NaN,1970-01-01
"Jet Set",2000,Fabien Onteniente,NaN,1970-01-01
"Speed 2: Cruise Control",1997,Jan de Bont,NaN,1970-01-01
"Dungeons & Dragons",2000,Courtney Solomon,NaN,1970-01-01
"Jaws: The Revenge",1987,Joseph Sargent,NaN,1970-01-01
"Lock Stock & Two Smoking Barrels",1998,Guy Ritchie,NaN,1970-01-01
"Need for Speed",2014,Scott Waugh,NaN,1970-01-01
"Sip si 32 dou",1996,Patrick Leung Pak-Kin,NaN,1970-01-01
"Espace détente",2005,Bruno Solo Yvan Le Bolloc'h,NaN,1970-01-01
"Di Renjie: Shen du long wang",2013,Tsui Hark,7,2016-01-08
"Zhì qu weihu shan",2014,Tsui Hark,6,2016-01-07
"Jigoku de naze warui",2013,Sion Sono,6,2016-01-05
"The Last House on the Left",1972,Wes Craven,NaN,1970-01-01
"Payback",1999,Brian Helgeland,NaN,1970-01-01
"The Crow",1994,Alex Proyas,NaN,1970-01-01
"LOL",2012,Lisa Azuelos,NaN,1970-01-01
"Le Boulet",2002,Alain Berbérian Frédéric Forestier,NaN,1970-01-01
"Un Indien dans la ville",1994,Hervé Palud,NaN,1970-01-01
"Camping 2",2010,Fabien Onteniente,NaN,1970-01-01
"Fanfan la Tulipe",2003,Gérard Krawczyk,NaN,1970-01-01
"American Pie 2",2001,J.B. Rogers,NaN,1970-01-01
"La Beuze",2003,François Desagnat Thomas Sorriaux,NaN,1970-01-01
"Fei foo hung sam",1994,Gordon Chan,NaN,1970-01-01
"Koi no tsumi",2011,Sion Sono,NaN,1970-01-01
"Heung Gong jai jo",1997,Fruit Chan,NaN,1970-01-01
"Shin Seiki Evangelion Gekijōban - Death & RebirthShito Shinsei",1997,Hideaki Anno Masayuki,NaN,1970-01-01
"Kidô keisatsu patoreibâ",2002,Takuji Endo Fumihiko Takayama,NaN,1970-01-01
"Fainaru Fantajî Sebun Adobento Chirudoren",2005,Tetsuya Nomura Takeshi Nozue,NaN,1970-01-01
"Jiang shan mei ren",2008,Ching Siu-Tung Raymond Yip Wai-Man,NaN,1970-01-01
"Karisuma",2000,Kiyoshi Kurosawa,NaN,1970-01-01
"2009 loseuteu maemorijeu",2002,Lee Si-Myung,NaN,1970-01-01
"Posutoman Burūsu",1997,Hiroyuki Tanaka,NaN,1970-01-01
"Shokuzai",2013,Kiyoshi Kurosawa,NaN,1970-01-01
"Kaïro",2001,Kiyoshi Kurosawa,NaN,1970-01-01
"Kyua",1997,Kiyoshi Kurosawa,NaN,1970-01-01
"Yi Ngoi",2009,Soi Cheang,NaN,1970-01-01
"Tetsuo II: Body Hammer",1992,Shinya Tsukamoto,NaN,1970-01-01
"Xin Su shi jian",2009,Derek Yee,NaN,1970-01-01
"Yu pu tuan: Tou qing bao jian",1991,Michael Mak Dong-Kit,NaN,1970-01-01
"Ringu 0 : Bâsudei",2000,Norio Tsuruta,NaN,1970-01-01
"Ringu 2",1999,Hideo Nakata,NaN,1970-01-01
"San ging chaat goo si",2004,Benny Chan,NaN,1970-01-01
"Chakushin ari",2003,Takashi Miike,NaN,1970-01-01
"GANTZ",2011,Shinsuke Sato,NaN,1970-01-01
"Dead or Alive (DOA)",2006,Corey Yuen,NaN,1970-01-01
"Dead or Alive: Hanzaisha",1999,Takashi Miike,NaN,1970-01-01
"Lung fu fong wan",1987,Ringo Lam,NaN,1970-01-01
"Lei ting zhan jing",2000,Stanley Tong Gwai-Lai,NaN,1970-01-01
"Baretto Barei",1998,Shinya Tsukamoto,NaN,1970-01-01
"Blood : The Last Vampire",2009,Chris Nahon,NaN,1970-01-01
"Moo-jeok-ja",2010,Song Hae-Sung,NaN,1970-01-01
"Azumi",2003,Ryûhei Kitamura,NaN,1970-01-01
"Oechul",2005,Hur Jin-Ho,NaN,1970-01-01
"The Big Short",2015,Adam McKay,8,2016-01-02
"The Man Who Shot Liberty Valance",1962,John Ford,8,2016-01-04
"The Angriest Man in Brooklyn",2014,Phil Alden Robinson,5,2016-01-04
"La Tulipe noire",1964,Christian-Jaque,6,2016-01-04
"Brave",2012,Mark Andrews Brenda Chapman Steve Purcell,NaN,1970-01-01
"Legion",2010,Scott Charles Stewart,NaN,1970-01-01
"The Man from U.N.C.L.E.",2015,Guy Ritchie,6,2016-01-03
"Perfume: The Story of a Murderer",2006,Tom Tykwer,6,2015-10-30
"Stupeur et Tremblements",2003,Alain Corneau,NaN,1970-01-01
"Le Château de ma mère",1990,Yves Robert,NaN,1970-01-01
"Everest",2015,Baltasar Kormákur,7,2016-01-02
"Up",2009,Pete Docter Bob Peterson,7,2016-01-01
"Balada Triste de Trompeta",2010,Àlex de la Iglesia,NaN,1970-01-01
"The Damned United",2009,Tom Hooper,NaN,1970-01-01
"Le Ballon d'or",1994,Cheik Doukouré,NaN,1970-01-01
"Fast & Furious",2009,Justin Lin,NaN,1970-01-01
"Dante's Peak",1997,Roger Donaldson,NaN,1970-01-01
"Anaconda",1997,Luis Llosa,NaN,1970-01-01
"The 51st State",2001,Ronny Yu,NaN,1970-01-01
"Volcano",1997,Mick Jackson,NaN,1970-01-01
"Entrapment",1999,Jon Amiel,NaN,1970-01-01
"Wild Wild West",1999,Barry Sonnenfeld,NaN,1970-01-01
"From Dusk till Dawn",1996,Robert Rodriguez,NaN,1970-01-01
"The Fast and the Furious",2001,Rob Cohen,NaN,1970-01-01
"From Hell",2001,Albert Hughes Allen Hughes,NaN,1970-01-01
"American Pie",1999,Paul Weitz Chris Weitz,NaN,1970-01-01
"Godzilla",1998,Roland Emmerich,NaN,1970-01-01
"The Mummy",1999,Stephen Sommers,NaN,1970-01-01
"Van Helsing",2004,Stephen Sommers,NaN,1970-01-01
"Mystery Men",1999,Kinka Usher,NaN,1970-01-01
"Gone in Sixty Seconds",2000,Dominic Sena,NaN,1970-01-01
"American Ninja 2 : The Confrontation",1987,Sam Firstenberg,NaN,1970-01-01
"The Man Who Knew Too Much",1956,Alfred Hitchcock,7,2015-12-30
"Irrational Man",2015,Woody Allen,7,2015-12-30
"Sicario",2015,Denis Villeneuve,7,2015-12-29
"The Grand Budapest Hotel",2014,Wes Anderson,8,2015-12-29
"Girlfight",2000,Karyn Kusama,NaN,1970-01-01
"Splice",2009,Vincenzo Natali,NaN,1970-01-01
"Final Destination",2000,James Wong,NaN,1970-01-01
"Mama",2013,Andy Muschietti,NaN,1970-01-01
"Jennifer's Body",2009,Karyn Kusama,NaN,1970-01-01
"The Darkest Hour",2011,Chris Gorak,NaN,1970-01-01
"Snow White and the Huntsman",2012,Rupert Sanders,NaN,1970-01-01
"The Woman in Black",2012,James Watkins,NaN,1970-01-01
"Jaws 2",1978,Jeannot Szwarc,NaN,1970-01-01
"The Invasion",2007,Oliver Hirschbiegel,NaN,1970-01-01
"La Jetée",1962,Chris Marker,8,2015-12-29
"Anatomy of a Murder",1959,Otto Preminger,8,2015-12-28
"The Green Inferno",2013,Eli Roth,5,2015-12-27
"The Intern",2015,Nancy Meyers,6,2015-12-23
"Strangers on a Train",1951,Alfred Hitchcock,7,2015-12-22
"Un moment d’égarement",2015,Jean-Francois Richet,6,2015-12-22
"Jupiter Ascending",2015,Lilly Wachowski Lana Wachowski,6,2015-12-21
"Hippocrate",2014,Thomas Lilti,7,2015-12-21
"Triangle",2009,Christopher Smith,6,2015-12-20
"Good Luck Chuck",2007,Mark Helfrich,5,2015-12-20
"Star Wars: The Force Awakens",2015,J.J. Abrams,6,2015-12-17
"Maze Runner: The Scorch Trials",2015,Wes Ball,5,2015-12-15
"Absolutely Anything",2015,Terry Jones,5,2015-12-15
"On Her Majesty's Secret Service",1969,Peter R. Hunt,NaN,1970-01-01
"Living in Oblivion",1995,Tom DiCillo,NaN,1970-01-01
"Les Apprentis",1995,Pierre Salvadori,NaN,1970-01-01
"The Salvation",2014,Kristian Levring,6,2015-11-21
"Spectre",2015,Sam Mendes,5,2015-11-22
"Ant-Man",2015,Peyton Reed,6,2015-11-22
"The Maze Runner",2014,Wes Ball,6,2015-11-05
"The Martian",2015,Ridley Scott,7,2015-11-10
"Crimson Peak",2015,Guillermo del Toro,7,2015-10-17
"Les Profs 2",2015,Pierre-François Martin-Laval,5,2015-10-23
"Jurassic World",2015,Colin Trevorrow,6,2015-11-01
"We Are Your Friends",2015,Max Joseph,6,2015-11-03
"Much Loved",2015,Nabil Ayouch,7,2015-10-03
"Inside Out",2015,Pete Docter Ronnie del Carmen,8,2015-10-22
"Tomorrowland",2015,Brad Bird,6,2015-10-22
"Mon roi",2015,Maïwenn,6,2015-10-25
"Le Talent de mes amis",2015,Alex Lutz,7,2015-10-02
"Animal",2014,Brett Simmons,4,2015-09-30
"Poltergeist",2015,Gil Kenan,6,2015-09-26
"The Program",2015,Stephen Frears,5,2015-09-23
"Bon Rétablissement !",2014,Jean Becker,6,2015-09-05
"The Loneliness of the Long Distance Runner",1962,Tony Richardson,NaN,1970-01-01
"Another Day in Paradise",1999,Larry Clark,NaN,1970-01-01
"Tatie Danielle",1990,Étienne Chatiliez,NaN,1970-01-01
"Hancock",2008,Peter Berg,NaN,1970-01-01
"Hard Candy",2006,David Slade,NaN,1970-01-01
"The Hitcher",2007,Dave Meyers,NaN,1970-01-01
"Lara Croft: Tomb Raider",2001,Simon West,NaN,1970-01-01
"Replicant",2001,Ringo Lam,NaN,1970-01-01
"Clouds of Sils Maria",2014,Olivier Assayas,7,2015-09-02
"Esu efu samurai fikushon",1998,Hiroyuki Nakano,NaN,1970-01-01
"The Night of the Hunter",1955,Charles Laughton,7,2015-09-01
"Camp X-Ray",2014,Peter Sattler,6,2015-08-31
"Rear Window",1954,Alfred Hitchcock,8,2015-08-30
"Riddick",2013,David Twohy,NaN,1970-01-01
"Halloween II",2009,Rob Zombie,NaN,1970-01-01
"Sherlock Holmes",2009,Guy Ritchie,NaN,1970-01-01
"Scary Movie",2000,Keenen Ivory Wayans,NaN,1970-01-01
"Red Sonja",1985,Richard Fleischer,NaN,1970-01-01
"The Lord of the Rings",1978,Ralph Bakshi,NaN,1970-01-01
"Pirates of the Caribbean: At World's End",2007,Gore Verbinski,NaN,1970-01-01
"Pirates of the Caribbean: Dead Man's Chest",2006,Gore Verbinski,NaN,1970-01-01
"Sex and the City 2",2010,Michael Patrick King,NaN,1970-01-01
"Evolution",2001,Ivan Reitman,NaN,1970-01-01
"Sex Tape",2014,Jake Kasdan,NaN,1970-01-01
"Dolores Claiborne",1995,Taylor Hackford,NaN,1970-01-01
"The Last Man on Earth",1964,Ubaldo Ragona Sidney Salkow,NaN,1970-01-01
"Ghost Dog: The Way of the Samurai",1999,Jim Jarmusch,NaN,1970-01-01
"All Is Lost",2013,J.C. Chandor,NaN,1970-01-01
"Prisoners",2013,Denis Villeneuve,NaN,1970-01-01
"Man cheng jin dai huang jin jia",2006,Zhāng Yì-Móu,NaN,1970-01-01
"The Cell",2000,Tarsem Singh,NaN,1970-01-01
"Astérix & Obélix contre César",1999,Claude Zidi,NaN,1970-01-01
"Queen of the Damned",2002,Michael Rymer,NaN,1970-01-01
"Battleship",2012,Peter Berg,NaN,1970-01-01
"Twilight",2008,Catherine Hardwicke,NaN,1970-01-01
"Clash of the Titans",2010,Louis Leterrier,NaN,1970-01-01
"2012",2009,Roland Emmerich,NaN,1970-01-01
"San Andreas",2015,Brad Peyton,4,2015-08-28
"12 Angry Men",1957,Sidney Lumet,8,2015-08-25
"Foh siu hung lin ji",1994,Ringo Lam,NaN,1970-01-01
"Siu ngo gong woo: Dung Fong Bat Bai",1992,Ching Siu-Tung Stanley Tong Gwai-Lai,NaN,1970-01-01
"Conan the Barbarian",2011,Marcus Nispel,NaN,1970-01-01
"Quantum of Solace",2008,Marc Forster,NaN,1970-01-01
"Scooby-Doo",2002,Raja Gosnell,NaN,1970-01-01
"Addams Family Values",1993,Barry Sonnenfeld,NaN,1970-01-01
"The Addams Family",1991,Barry Sonnenfeld,NaN,1970-01-01
"South Park: Bigger Longer & Uncut",1999,Trey Parker,NaN,1970-01-01
"Warm Bodies",2013,Jonathan Levine,NaN,1970-01-01
"Meng long guo jiang",1972,Bruce Lee,NaN,1970-01-01
"Hostel",2005,Eli Roth,NaN,1970-01-01
"I Love You Phillip Morris",2010,Glenn Ficarra John Requa,NaN,1970-01-01
"Cube",1997,Vincenzo Natali,NaN,1970-01-01
"The Next Three Days",2010,Paul Haggis,NaN,1970-01-01
"La Vache et le Prisonnier",1959,Henri Verneuil,NaN,1970-01-01
"O Brother Where Art Thou?",2000,Joel Coen Ethan Coen,NaN,1970-01-01
"Annabelle",2014,John R. Leonetti,4,2015-08-21
"Robin des Bois - La Véritable Histoire",2015,Anthony Marciano,5,2015-08-21
"Mission: Impossible - Rogue Nation",2015,Christopher McQuarrie,6,2015-08-17
"Rebecca",1940,Alfred Hitchcock,7,2015-08-13
"Le Héros de la famille",2006,Thierry Klifa,6,2015-08-13
"SMS",2014,Gabriel Julien-Laferrière,6,1970-01-01
"Street Fighter: The Legend of Chun-Li",2009,Andrzej Bartkowiak,NaN,1970-01-01
"Batman & Robin",1997,Joel Schumacher,NaN,1970-01-01
"Batman Forever",1995,Joel Schumacher,NaN,1970-01-01
"Highlander II: The Quickening",1991,Russell Mulcahy,NaN,1970-01-01
"Rocky IV",1985,Sylvester Stallone,NaN,1970-01-01
"The One",2001,James Wong,NaN,1970-01-01
"Southland Tales",2007,Richard Kelly,NaN,1970-01-01
"Evil Dead 2: Dead by Dawn",1987,Sam Raimi,NaN,1970-01-01
"Youth in Revolt",2010,Miguel Arteta,NaN,1970-01-01
"Furious 7",2015,James Wan,5,2015-08-10
"Un village presque parfait",2015,Stéphane Meunier,6,1970-01-01
"Les Combattants",2014,Thomas Cailley,6,2015-07-01
"Dark Places",2015,Gilles Paquet-Brenner,6,2015-08-01
"Selfless",2015,Tarsem Singh,5,1970-01-01
"Step Up: All In",2014,Trish Sie,5,1970-01-01
"Pourquoi j'ai pas mangé mon père",2015,Jamel Debbouze,6,1970-01-01
"Les Vacances du Petit Nicolas",2014,Laurent Tirard,5,2015-06-29
"Dirty Harry",1971,Don Siegel,NaN,1970-01-01
"Willy Wonka and the Chocolate Factory",1971,Mel Stuart,NaN,1970-01-01
"Poltergeist",1982,Tobe Hooper,NaN,1970-01-01
"Chariots of Fire",1981,Hugh Hudson,NaN,1970-01-01
"Beverly Hills Cop 2",1987,Tony Scott,NaN,1970-01-01
"This Is Spinal Tap",1984,Rob Reiner,NaN,1970-01-01
"Sien nui yau wan",2011,Wilson Yip,NaN,1970-01-01
"Siu-sin",1997,Andrew Chan Tetsuya Endo Tsui Hark,NaN,1970-01-01
"Sien nui yau wan II yan gaan do",1990,Ching Siu-Tung,NaN,1970-01-01
"Sien nui yau wan",1987,Ching Siu-Tung,NaN,1970-01-01
"Manon des sources",1986,Claude Berri,NaN,1970-01-01
"Sicko",2007,Michael Moore,NaN,1970-01-01
"Roger and Me",1990,Michael Moore,NaN,1970-01-01
"Natural Born Killers",1994,Oliver Stone,NaN,1970-01-01
"Boogie Nights",1997,Paul Thomas Anderson,NaN,1970-01-01
"The Ice Storm",1997,Ang Lee,NaN,1970-01-01
"Meet the Parents",2000,Jay Roach,NaN,1970-01-01
"Yī yī",2000,Edward Yang,NaN,1970-01-01
"Being John Malkovich",1999,Spike Jonze,NaN,1970-01-01
"No Man's Land",2001,Danis Tanović,NaN,1970-01-01
"Jopog manura 2: Dolaon jeonseol",2003,Heung-sun Jeong,NaN,1970-01-01
"Jopog Manura",2001,Lim Jin-Kyu,NaN,1970-01-01
"Gamuneui yeonggwang",2002,Heung-sun Jeong,NaN,1970-01-01
"Jopog Manura 3",2006,Jo Jin-gyu,NaN,1970-01-01
"Saat po long",2005,Wilson Yip,NaN,1970-01-01
"Yip Man",2008,Wilson Yip,NaN,1970-01-01
"Yip Man 2",2010,Wilson Yip,NaN,1970-01-01
"Cheut ai kup gei",2007,Pang Ho-Cheung,NaN,1970-01-01
"Youyuan jingmeng",2001,Yonfan Cheung Man Wu Xi-guo,NaN,1970-01-01
"Suchwiin bulmyeong",2001,Kim Ki-Duk,NaN,1970-01-01
"Samaria",2004,Kim Ki-Duk,NaN,1970-01-01
"Haeanseon",2002,Kim Ki-Duk,NaN,1970-01-01
"Gojitmal",1999,Jang Sun-Woo,NaN,1970-01-01
"Swiri",1999,Kang Je-Gyu,NaN,1970-01-01
"Up in the Air",2009,Jason Reitman,NaN,1970-01-01
"Starsky & Hutch",2004,Todd Phillips,NaN,1970-01-01
"The Insider",1999,Michael Mann,NaN,1970-01-01
"Cop Land",1997,James Mangold,NaN,1970-01-01
"All the Boys Love Mandy Lane",2010,Jonathan Levine,NaN,1970-01-01
"21 Grams",2003,Alejandro González Iñárritu,NaN,1970-01-01
"Hellboy",2004,Guillermo del Toro,NaN,1970-01-01
"The American",2010,Anton Corbijn,NaN,1970-01-01
"Ender's Game",2013,Gavin Hood,NaN,1970-01-01
"Libre et Assoupi",2014,Benjamin Guedj,NaN,1970-01-01
"Premium Rush",2012,David Koepp,NaN,1970-01-01
"The Five-Year Engagement",2012,Nicholas Stoller,NaN,1970-01-01
"Easy A",2010,Will Gluck,NaN,1970-01-01
"Run Fatboy Run",2007,David Schwimmer,NaN,1970-01-01
"A Knight's Tale",2001,Brian Helgeland,NaN,1970-01-01
"Jean-Philippe",2006,Laurent Tuel,NaN,1970-01-01
"The Dead Zone",1983,David Cronenberg,NaN,1970-01-01
"The Interpreter",2005,Sydney Pollack,NaN,1970-01-01
"Le Créateur",1999,Albert Dupontel,NaN,1970-01-01
"Domino",2005,Tony Scott,NaN,1970-01-01
"Teeth",2008,Mitchell Lichtenstein,NaN,1970-01-01
"Fanfan",1993,Alexandre Jardin,NaN,1970-01-01
